id;codigo;descripcion;nuevocampo;valor;activo
1;receiver;wrapper plummet;authentic beside brr;2214.15;false
2;unless big growling;if dearly gregarious;upwardly analyse ack;30949.44;true
3;smoothly psst;wherever in;up;26534.79;false
4;field whether failing;versus decentralize fondly;bony whether;14151.51;true
5;trafficker;throbbing;good fold;28238.25;true
6;predict across unlike;gloomy concerning reprocessing;retire duh blank;30796.97;false
7;coolly pish finally;glass seat;boohoo given hence;1616.1;true
8;smoothly boohoo against;wetly;outline till;25058.51;false
9;finally until;repeatedly brr silently;computer;15688.16;false
10;blog truly;once ha;ignorant;15276.63;false
